or you.
  import pynvml
Biblioteca pynvml encontrada, mas não foi possível inicializar.
[INFO] [1761680985.490008695] [performance_monitor_node]: CPU: 26.3%, RAM: 1329 MB
[INFO] [1761680986.489879713] [performance_monitor_node]: CPU: 29.8%, RAM: 1329 MB
[INFO] [1761680987.490144578] [performance_monitor_node]: CPU: 24.3%, RAM: 1331 MB
[INFO] [1761680988.489946817] [performance_monitor_node]: CPU: 23.9%, RAM: 1326 MB
[INFO] [1761680989.489971645] [performance_monitor_node]: CPU: 30.2%, RAM: 1330 MB
[INFO] [1761680990.489936614] [performance_monitor_node]: CPU: 25.5%, RAM: 1331 MB
[INFO] [1761680991.489959896] [performance_monitor_node]: CPU: 23.3%, RAM: 1332 MB
[INFO] [1761680992.490036213] [performance_monitor_node]: CPU: 30.7%, RAM: 1337 MB
[INFO] [1761680993.500522552] [performance_monitor_node]: CPU: 38.0%, RAM: 1342 MB
[INFO] [1761680994.490013196] [performance_monitor_node]: CPU: 35.1%, RAM: 1344 MB
[INFO] [1761680995.491114104] [performance_monitor_node]: CPU: 27.7%, RAM: 1347 MB
[INFO] [1761680996.490028762] [performance_monitor_node]: CPU: 36.8%, RAM: 1344 MB
[INFO] [1761680997.490047015] [performance_monitor_node]: CPU: 25.6%, RAM: 1347 MB
[INFO] [1761680998.490049922] [performance_monitor_node]: CPU: 36.2%, RAM: 1352 MB
[INFO] [1761680999.491523969] [performance_monitor_node]: CPU: 24.3%, RAM: 1356 MB
[INFO] [1761681000.493401234] [performance_monitor_node]: CPU: 33.3%, RAM: 1356 MB
[INFO] [1761681001.489951435] [performance_monitor_node]: CPU: 32.0%, RAM: 1357 MB
[INFO] [1761681002.490399979] [performance_monitor_node]: CPU: 32.1%, RAM: 1355 MB
[INFO] [1761681003.489957099] [performance_monitor_node]: CPU: 39.6%, RAM: 1355 MB
[INFO] [1761681004.490688507] [performance_monitor_node]: CPU: 27.6%, RAM: 1355 MB
[INFO] [1761681005.493529700] [performance_monitor_node]: CPU: 31.0%, RAM: 1341 MB
[INFO] [1761681006.491322489] [performance_monitor_node]: CPU: 41.7%, RAM: 1348 MB
[INFO] [1761681007.492322154] [performance_monitor_node]: CPU: 34.6%, RAM: 1348 MB
[INFO] [1761681008.494461353] [performance_monitor_node]: CPU: 33.4%, RAM: 1343 MB
[INFO] [1761681009.493611570] [performance_monitor_node]: CPU: 28.1%, RAM: 1345 MB
[INFO] [1761681010.493475076] [performance_monitor_node]: CPU: 33.7%, RAM: 1349 MB
[INFO] [1761681011.493404753] [performance_monitor_node]: CPU: 36.5%, RAM: 1353 MB
[INFO] [1761681012.490929126] [performance_monitor_node]: CPU: 35.0%, RAM: 1354 MB
[INFO] [1761681013.490261436] [performance_monitor_node]: CPU: 33.6%, RAM: 1354 MB
[INFO] [1761681014.490184132] [performance_monitor_node]: CPU: 39.1%, RAM: 1356 MB
[INFO] [1761681015.489978278] [performance_monitor_node]: CPU: 27.2%, RAM: 1358 MB
[INFO] [1761681016.489946213] [performance_monitor_node]: CPU: 29.3%, RAM: 1362 MB
[INFO] [1761681017.489915473] [performance_monitor_node]: CPU: 25.1%, RAM: 1365 MB
[INFO] [1761681018.490000505] [performance_monitor_node]: CPU: 29.1%, RAM: 1366 MB
[INFO] [1761681019.489937140] [performance_monitor_node]: CPU: 29.1%, RAM: 1360 MB
[INFO] [1761681020.490015493] [performance_monitor_node]: CPU: 25.4%, RAM: 1362 MB
[INFO] [1761681021.490185898] [performance_monitor_node]: CPU: 33.9%, RAM: 1365 MB
[INFO] [1761681022.490035796] [performance_monitor_node]: CPU: 28.5%, RAM: 1368 MB
[INFO] [1761681023.490859463] [performance_monitor_node]: CPU: 32.7%, RAM: 1370 MB
[INFO] [1761681024.490186868] [performance_monitor_node]: CPU: 24.8%, RAM: 1369 MB
[INFO] [1761681025.489957964] [performance_monitor_node]: CPU: 28.2%, RAM: 1368 MB
[INFO] [1761681026.489967969] [performance_monitor_node]: CPU: 32.0%, RAM: 1364 MB
[INFO] [1761681027.489940827] [performance_monitor_node]: CPU: 28.1%, RAM: 1366 MB
[INFO] [1761681028.489958354] [performance_monitor_node]: CPU: 40.1%, RAM: 1370 MB
[INFO] [1761681029.490074867] [performance_monitor_node]: CPU: 35.0%, RAM: 1369 MB
[INFO] [1761681030.490351884] [performance_monitor_node]: CPU: 26.9%, RAM: 1365 MB
[INFO] [1761681031.490108659] [performance_monitor_node]: CPU: 31.9%, RAM: 1366 MB
[INFO] [1761681032.490924081] [performance_monitor_node]: CPU: 42.2%, RAM: 1377 MB
[INFO] [1761681033.489919043] [performance_monitor_node]: CPU: 36.5%, RAM: 1379 MB
[INFO] [1761681034.492512887] [performance_monitor_node]: CPU: 32.4%, RAM: 1384 MB
[INFO] [1761681035.490846226] [performance_monitor_node]: CPU: 30.5%, RAM: 1384 MB
[INFO] [1761681036.492103551] [performance_monitor_node]: CPU: 29.5%, RAM: 1384 MB
[INFO] [1761681037.493703463] [performance_monitor_node]: CPU: 32.5%, RAM: 1384 MB
[INFO] [1761681038.492109200] [performance_monitor_node]: CPU: 32.1%, RAM: 1379 MB
[INFO] [1761681039.489974681] [performance_monitor_node]: CPU: 36.1%, RAM: 1378 MB
[INFO] [1761681040.491678625] [performance_monitor_node]: CPU: 36.8%, RAM: 1381 MB
[INFO] [1761681041.493364395] [performance_monitor_node]: CPU: 25.6%, RAM: 1381 MB
[INFO] [1761681042.492443889] [performance_monitor_node]: CPU: 24.9%, RAM: 1381 MB
[INFO] [1761681043.494944397] [performance_monitor_node]: CPU: 32.3%, RAM: 1381 MB
[INFO] [1761681044.489931557] [performance_monitor_node]: CPU: 30.7%, RAM: 1389 MB
[INFO] [1761681045.490117493] [performance_monitor_node]: CPU: 41.7%, RAM: 1391 MB
[INFO] [1761681046.489943477] [performance_monitor_node]: CPU: 34.8%, RAM: 1384 MB
[INFO] [1761681047.490211593] [performance_monitor_node]: CPU: 32.3%, RAM: 1387 MB
[INFO] [1761681048.490067332] [performance_monitor_node]: CPU: 34.3%, RAM: 1394 MB
[INFO] [1761681049.489928810] [performance_monitor_node]: CPU: 27.7%, RAM: 1390 MB
[INFO] [1761681050.489940734] [performance_monitor_node]: CPU: 31.3%, RAM: 1393 MB
[INFO] [1761681051.489919008] [performance_monitor_node]: CPU: 25.1%, RAM: 1393 MB
[INFO] [1761681052.490184378] [performance_monitor_node]: CPU: 24.7%, RAM: 1398 MB
[INFO] [1761681053.490229191] [performance_monitor_node]: CPU: 28.4%, RAM: 1400 MB
[INFO] [1761681054.490080577] [performance_monitor_node]: CPU: 34.2%, RAM: 1396 MB
[INFO] [1761681055.490047300] [performance_monitor_node]: CPU: 33.5%, RAM: 1410 MB
[INFO] [1761681056.490007617] [performance_monitor_node]: CPU: 29.8%, RAM: 1410 MB
[INFO] [1761681057.490105124] [performance_monitor_node]: CPU: 37.0%, RAM: 1404 MB
[INFO] [1761681058.489960614] [performance_monitor_node]: CPU: 35.3%, RAM: 1416 MB
[INFO] [1761681059.490930601] [performance_monitor_node]: CPU: 28.3%, RAM: 1417 MB
[INFO] [1761681060.490352187] [performance_monitor_node]: CPU: 33.4%, RAM: 1410 MB
[INFO] [1761681061.493432687] [performance_monitor_node]: CPU: 29.1%, RAM: 1410 MB
[INFO] [1761681062.489976105] [performance_monitor_node]: CPU: 31.7%, RAM: 1409 MB
[INFO] [1761681063.489914824] [performance_monitor_node]: CPU: 39.0%, RAM: 1418 MB
